U .S .  .  .  .  .  .,"133,377",47 .4,"6,544",2 .1,MO . . . . . . .,"2,813",50.3,59,1.0
AL  . . . . . . .,"2,418",54.4,9,0.2,MT . . . . . . .,401,44.4,1,0.1
AK . . . . . . .,210,33.6,6,0.9,NE . . . . . . .,995,58.2,7,0.4
AZ . . . . . . .,"1,946",37.9,106,1.6,NV . . . . . . .,604,30.2,74,2.8
AR . . . . . . .,"1,516",56.7,2,0.1,NH . . . . . . .,571,46.2,10,0.8
CA . . . . . . .,"14,328",42.3,"1,220",3.3,NJ  . . . . . . .,"4,262",50.7,505,5.8
CO . . . . . . .,"1,604",37.3,90,1.8,NM . . . . . . .,"1,041",57.2,11,0.6
CT . . . . . . .,"1,828",53.7,119,3.4,NY . . . . . . .,"9,569",50.4,"1,625",8.3
DE . . . . . . .,299,38.2,15,1.7,NC . . . . . . .,"3,598",44.7,30,0.3
DC . . . . . . .,331,57.8,28,4.7,ND . . . . . . .,468,72.9,(Z),(Z)
FL 3  . . . . . .,"5,904",36.9,614,3.3,OH . . . . . . .,"4,912",43.3,148,1.3
GA . . . . . . .,"3,528",43.1,128,1.3,OK . . . . . . .,"2,079",60.3,5,0.1
HI . . . . . . . .,431,35.6,8,0.6,OR . . . . . . .,"1,029",30.1,48,1.3
ID . . . . . . . .,624,48.3,2,0.1,PA  . . . . . . .,"6,751",55.0,295,2.3
IL . . . . . . . .,"6,457",52.0,278,2.2,RI . . . . . . . .,646,61.7,19,1.8
IN . . . . . . . .,"2,578",42.4,17,0.3,SC . . . . . . .,"1,874",46.7,11,0.2
IA . . . . . . . .,"1,698",58.0,6,0.2,SD . . . . . . .,510,67.6,(Z),(Z)
KS . . . . . . .,"1,307",48.6,18,0.6,TN . . . . . . .,"2,867",50.4,19,0.3
KY . . . . . . .,"2,141",53.0,11,0.3,TX . . . . . . .,"11,316",54.3,130,0.5
LA  . . . . . . .,"2,599",58.2,11,0.2,UT . . . . . . .,"1,659",74.3,5,0.2
ME . . . . . . .,450,35.3,14,1.1,VT . . . . . . .,230,37.8,5,0.9
MD . . . . . . .,"2,012",38.0,241,4.2,VA . . . . . . .,"2,807",39.7,98,1.2
MA . . . . . . .,"3,725",58.7,282,4.3,WA . . . . . . .,"1,872",31.8,44,0.7
MI . . . . . . . .,"3,970",39.9,87,0.9,WV . . . . . . .,646,35.7,2,0.1
MN . . . . . . .,"2,974",60.5,47,0.9,WI  . . . . . . .,"3,198",59.6,28,0.5
MS . . . . . . .,"1,549",54.5,2,0.1,WY . . . . . . .,229,46.4,1,0.2
